Year,Country ,Event,Placeholder
2005,LSO,Flood,TBC
2005,MUS,Flood,TBC
2005,SWZ,Drought,TBC
2005,TZA,Drought,TBC
2005,COM,Flood,TBC
2005,MDG,Flood,TBC
2005,SYC,Drought,TBC
2005,ZMB,Drought,TBC
2005,AGO,Flood,TBC
2005,TZA,Flood,TBC
2005,ZAF,Flood,TBC
2005,NAM,Drought,TBC
2005,ZMB,Flood,TBC
2005,SYC,Drought,TBC
2005,COM,Drought,TBC
2005,MUS,Drought,TBC
2006,ZWE,Drought,TBC
2006,BWA,Drought,TBC
2006,MUS,Flood,TBC
2006,MOZ,Drought,TBC
2006,COM,Drought,TBC
2006,ZAF,Drought,TBC
2006,SYC,Flood,TBC
2006,COD,Drought,TBC
2006,COM,Flood,TBC
2006,MUS,Flood,TBC
2006,AGO,Flood,TBC
2006,COM,Flood,TBC
2006,MDG,Flood,TBC
2006,COD,Flood,TBC
2006,MWI,Flood,TBC
2006,SYC,Flood,TBC
2006,NAM,Drought,TBC
2006,SYC,Flood,TBC
2006,COD,Drought,TBC
2007,ZAF,Flood,TBC
2007,TZA,Flood,TBC
2007,BWA,Drought,TBC
2007,COM,Drought,TBC
2007,SYC,Drought,TBC
2007,MWI,Flood,TBC
2007,COD,Flood,TBC
2007,ZWE,Flood,TBC
2007,AGO,Drought,TBC
2007,MDG,Drought,TBC
2007,COM,Drought,TBC
2007,TZA,Drought,TBC
2007,ZMB,Drought,TBC
2008,MOZ,Drought,TBC
2008,ZAF,Flood,TBC
2008,BWA,Drought,TBC
2008,TZA,Flood,TBC
2008,BWA,Drought,TBC
2008,SYC,Drought,TBC
2008,SYC,Flood,TBC
2008,MUS,Flood,TBC
2008,ZMB,Flood,TBC
2008,ZAF,Flood,TBC
2008,MOZ,Drought,TBC
2008,TZA,Drought,TBC
2008,MDG,Drought,TBC
2009,MDG,Drought,TBC
2009,AGO,Flood,TBC
2009,COD,Drought,TBC
2009,MUS,Flood,TBC
2009,MUS,Drought,TBC
2009,ZWE,Drought,TBC
2009,LSO,Flood,TBC
2009,NAM,Flood,TBC
2010,COD,Flood,TBC
2010,LSO,Drought,TBC
2010,TZA,Drought,TBC
2010,BWA,Flood,TBC
2010,COD,Flood,TBC
2010,COM,Flood,TBC
2010,NAM,Flood,TBC
2010,MUS,Drought,TBC
2010,MOZ,Drought,TBC
2010,LSO,Flood,TBC
2010,AGO,Drought,TBC
2010,BWA,Drought,TBC
2010,LSO,Drought,TBC
2010,LSO,Flood,TBC
2010,ZWE,Flood,TBC
2011,BWA,Flood,TBC
2011,MUS,Drought,TBC
2011,ZMB,Flood,TBC
2011,LSO,Drought,TBC
2011,TZA,Drought,TBC
2011,COD,Drought,TBC
2011,BWA,Flood,TBC
2011,NAM,Drought,TBC
2011,COD,Flood,TBC
2011,MDG,Flood,TBC
2012,TZA,Flood,TBC
2012,ZMB,Drought,TBC
2012,COM,Flood,TBC
2012,MOZ,Drought,TBC
2012,MWI,Flood,TBC
2012,COD,Drought,TBC
2012,LSO,Drought,TBC
2012,LSO,Flood,TBC
2012,MUS,Drought,TBC
2012,ZMB,Drought,TBC
2012,AGO,Drought,TBC
2013,NAM,Flood,TBC
2013,MUS,Flood,TBC
2013,NAM,Flood,TBC
2013,ZMB,Flood,TBC
2013,ZAF,Drought,TBC
2013,ZMB,Drought,TBC
2013,COD,Flood,TBC
2013,MDG,Flood,TBC
2013,NAM,Flood,TBC
2013,AGO,Flood,TBC
2013,BWA,Flood,TBC
2013,SWZ,Flood,TBC
2013,ZMB,Drought,TBC
2013,ZWE,Drought,TBC
2013,NAM,Flood,TBC
2013,ZAF,Flood,TBC
2013,BWA,Drought,TBC
2013,ZMB,Drought,TBC
2013,ZWE,Drought,TBC
2013,ZMB,Drought,TBC
2013,MUS,Flood,TBC
2013,COD,Drought,TBC
2013,COM,Drought,TBC
2013,ZMB,Flood,TBC
2013,ZWE,Drought,TBC
2013,SYC,Flood,TBC
2014,SWZ,Drought,TBC
2014,AGO,Flood,TBC
2014,MOZ,Drought,TBC
2014,AGO,Flood,TBC
2014,COD,Flood,TBC
2014,MWI,Drought,TBC
2014,BWA,Flood,TBC
2014,SYC,Flood,TBC
2014,MUS,Drought,TBC
2014,MOZ,Drought,TBC
2014,ZAF,Drought,TBC
2014,SWZ,Drought,TBC
2015,LSO,Drought,TBC
2015,NAM,Drought,TBC
2015,ZAF,Drought,TBC
2015,COM,Drought,TBC
2015,NAM,Drought,TBC
2015,MOZ,Flood,TBC
2015,ZWE,Flood,TBC
2015,MDG,Flood,TBC
2015,TZA,Flood,TBC
2015,SWZ,Flood,TBC
2015,LSO,Drought,TBC
2015,SYC,Drought,TBC
2015,NAM,Flood,TBC
2015,MWI,Drought,TBC
2015,MDG,Flood,TBC
2015,SWZ,Flood,TBC
2015,TZA,Drought,TBC
2016,BWA,Drought,TBC
2016,ZWE,Drought,TBC
2016,ZWE,Drought,TBC
2016,AGO,Drought,TBC
2016,MDG,Drought,TBC
2016,NAM,Drought,TBC
2016,ZWE,Flood,TBC
2016,COM,Flood,TBC
2016,SWZ,Flood,TBC
2017,MDG,Flood,TBC
2017,AGO,Drought,TBC
2017,SYC,Drought,TBC
2017,SWZ,Drought,TBC
2017,ZMB,Drought,TBC
2017,SWZ,Flood,TBC
2017,AGO,Drought,TBC
2017,SWZ,Flood,TBC
2017,SWZ,Drought,TBC
2017,TZA,Drought,TBC
2017,ZAF,Flood,TBC
2017,ZMB,Flood,TBC
2017,COD,Drought,TBC
2017,MOZ,Drought,TBC
2017,AGO,Flood,TBC
2017,MWI,Drought,TBC
2017,MWI,Drought,TBC
2017,MOZ,Drought,TBC
2017,LSO,Flood,TBC
2017,MWI,Drought,TBC
2017,BWA,Flood,TBC
2017,MOZ,Flood,TBC
2018,SYC,Drought,TBC
2018,TZA,Drought,TBC
2018,ZAF,Flood,TBC
2018,MWI,Drought,TBC
2018,BWA,Flood,TBC
2018,COD,Drought,TBC
2018,AGO,Flood,TBC
2018,MUS,Drought,TBC
2018,TZA,Drought,TBC
2018,ZAF,Flood,TBC
2018,SYC,Flood,TBC
2018,MUS,Flood,TBC
2018,NAM,Flood,TBC
2019,MDG,Drought,TBC
2019,ZMB,Drought,TBC
2019,ZWE,Flood,TBC
2019,MWI,Drought,TBC
2019,SYC,Drought,TBC
2019,SWZ,Drought,TBC
2019,LSO,Drought,TBC
2019,SWZ,Flood,TBC
2019,TZA,Drought,TBC
2019,SWZ,Flood,TBC
2019,MOZ,Flood,TBC
2019,ZMB,Drought,TBC
2019,ZWE,Flood,TBC
2019,AGO,Drought,TBC
2019,SWZ,Drought,TBC
2019,ZWE,Drought,TBC
2019,MWI,Flood,TBC
2019,ZWE,Drought,TBC
2019,MWI,Flood,TBC
2019,MDG,Drought,TBC
2019,TZA,Flood,TBC
2020,MWI,Drought,TBC
2020,MUS,Flood,TBC
2020,MWI,Drought,TBC
2020,SYC,Drought,TBC
2020,COD,Flood,TBC
2020,NAM,Flood,TBC
2020,ZWE,Flood,TBC
2020,NAM,Drought,TBC
2020,COD,Flood,TBC
2020,MOZ,Flood,TBC
2020,LSO,Drought,TBC
2020,BWA,Flood,TBC
2020,NAM,Flood,TBC
2020,SWZ,Drought,TBC
2020,ZMB,Flood,TBC
2021,AGO,Drought,TBC
2021,ZAF,Drought,TBC
2021,COM,Drought,TBC
2021,MUS,Drought,TBC
2021,LSO,Drought,TBC
2021,NAM,Drought,TBC
2021,MUS,Flood,TBC
2021,ZMB,Flood,TBC
2021,LSO,Flood,TBC
2021,MWI,Drought,TBC
2021,SWZ,Flood,TBC
2021,ZAF,Drought,TBC
2021,AGO,Drought,TBC
2022,MUS,Drought,TBC
2022,MOZ,Flood,TBC
2022,ZWE,Flood,TBC
2022,ZMB,Drought,TBC
2022,ZWE,Drought,TBC
2022,AGO,Drought,TBC
2022,COM,Drought,TBC
2022,ZAF,Drought,TBC
2022,MDG,Drought,TBC
2022,ZAF,Drought,TBC
2022,TZA,Flood,TBC
2022,TZA,Flood,TBC
2022,ZAF,Drought,TBC
2022,MDG,Flood,TBC
2022,MUS,Drought,TBC
2023,COM,Drought,TBC
2023,SYC,Flood,TBC
2023,MDG,Flood,TBC
2023,BWA,Drought,TBC
2023,AGO,Drought,TBC
2023,MOZ,Flood,TBC
2023,MOZ,Flood,TBC
2023,ZWE,Drought,TBC
2023,ZAF,Flood,TBC
2023,MUS,Flood,TBC
2023,COM,Flood,TBC
2023,MOZ,Flood,TBC
2023,ZWE,Flood,TBC
2024,COM,Flood,TBC
2024,COM,Flood,TBC
2024,LSO,Drought,TBC
2024,LSO,Flood,TBC
2024,MOZ,Flood,TBC
2024,COD,Drought,TBC
2024,MWI,Drought,TBC
2024,LSO,Flood,TBC
2024,MOZ,Drought,TBC
2024,SWZ,Drought,TBC
2024,BWA,Flood,TBC
2024,AGO,Drought,TBC
2024,LSO,Flood,TBC
2024,MOZ,Flood,TBC
2024,MDG,Drought,TBC
2024,COM,Flood,TBC
2024,MWI,Flood,TBC
